"name","combined_average_rounded","life_span","profit_over_time","purchase_price","total_price","marketing_cost_over_time"
"Dr. Panda & Toto's Treehouse","4.5",10,"$1,080,000.00","$39,900.00","$3.99","$105,600.00"
"Fandango Movies - Times + Tickets","4.5",10,"$1,080,000.00","$10,000.00","$0.00","$110,400.00"
"H*nest Meditation","4.5",10,"$1,080,000.00","$19,900.00","$1.99","$117,600.00"
"My Talking Pet","4.5",10,"$1,080,000.00","$49,900.00","$4.99","$110,400.00"
"Regal Cinemas","4.5",10,"$1,080,000.00","$10,000.00","$0.00","$103,200.00"
"Talking Ginger 2","4.5",10,"$1,080,000.00","$10,000.00","$0.00","$100,800.00"
"The CW","4.5",10,"$1,080,000.00","$10,000.00","$0.00","$105,600.00"
"WWE","4.5",10,"$1,080,000.00","$10,000.00","$0.00","$108,000.00"
"Xbox","4.5",10,"$1,080,000.00","$10,000.00","$0.00","$103,200.00"
"YouTube Kids","4.5",10,"$1,080,000.00","$10,000.00","$0.00","$108,000.00"
